filename, e_score, s_score, g_score
BBC, 60.23, 43.21, 50.01
BID, 81.27, 86.22, 89.54
DPM, 69.70, 57.64, 75.23
HSG, 72.12, 70.75, 63.65
SAB, 60.50, 60.76, 77.92
SCB, 64.42, 55.44, 40.02
TCM, 70.24, 62.64, 73.86
TRA, 76.67, 67.14, 60.05
VINGroup, 83.03, 77.22, 69.23
ACB, 76.62, 82.05, 84.06
CTR, 78.42, 77.62, 75.82
FPT, 71.41, 72.62, 74.81
GCF, 91.12, 85.22, 73.77
Home-credit, 63.32, 85.64, 82.16
MHT, 71.17, 68.32, 80.14
Miza, 43.32, 65.17, 68.18
NVL, 65.32, 40.16, 46.16
PAN, 70.12, 75.16, 81.12
PLX, 80.21, 85.36, 84.92
PNJ, 52.25, 47.52, 55.23
PVN, 62.63, 65.67, 72.14
SAB, 64.57, 70.23, 60.24
TCB, 85.29, 89.23, 92.15
TRA, 69.17, 67.32, 72.14
VNM, 81.12, 83.32, 71.17
