filename,pos_env_climate_action,neg_env_climate_action,pos_env_energy_transition,neg_env_energy_transition,pos_env_water_stewardship,neg_env_water_stewardship,pos_env_biodiversity_nature,neg_env_biodiversity_nature,pos_env_pollution_prevention,neg_env_pollution_prevention,pos_env_circular_economy,neg_env_circular_economy,pos_env_sustainable_practices,neg_env_sustainable_practices,pos_social_diversity_inclusion,neg_social_diversity_inclusion,pos_social_workforce_development,neg_social_workforce_development,pos_social_health_safety,neg_social_health_safety,pos_social_human_rights,neg_social_human_rights,pos_social_community_engagement,neg_social_community_engagement,pos_social_customer_stakeholder,neg_social_customer_stakeholder,pos_social_financial_inclusion,neg_social_financial_inclusion,pos_gov_corporate_governance,neg_gov_corporate_governance,pos_gov_ethics_integrity,neg_gov_ethics_integrity,pos_gov_transparency_disclosure,neg_gov_transparency_disclosure,pos_gov_risk_management,neg_gov_risk_management,pos_gov_compliance_legal,neg_gov_compliance_legal,pos_gov_stakeholder_relations,neg_gov_stakeholder_relations,pos_gov_innovation_technology,neg_gov_innovation_technology,pos_gov_cybersecurity_data,neg_gov_cybersecurity_data,total_sentences,total_words,total_pos_environmental,total_neg_environmental,total_pos_social,total_neg_social,total_pos_governance,total_neg_governance,total_environmental_mentions,total_social_mentions,total_governance_mentions,total_esg_mentions,esg_pos_ratio,esg_neg_ratio,esg_tier,esg_cluster,e_score,s_score,g_score,NER_pos,NER_neg
AR BBC 2023.txt,2,1,0,0,11,0,11,0,2,1,4,0,0,1,0,0,2,0,8,2,0,0,2,0,5,2,0,0,35,10,16,1,103,15,5,4,22,5,22,3,38,19,1,2,3932,50301,30,3,17,4,242,59,33,21,301,355,0.8140845070422535,0.1859154929577464,Fair,2,70.6,65.6,66.4,7.617010318134626,12.678808407837531
AR BBC 2024.txt,6,3,1,0,21,2,14,3,2,0,5,0,0,0,0,0,9,1,17,1,0,0,5,0,14,2,0,0,93,10,69,0,218,10,16,5,57,3,73,4,33,11,0,0,5326,78698,49,8,45,4,559,43,57,49,602,708,0.9223163841807908,0.077683615819209,Fair,2,68.1,71.0,73.0,8.700670144088763,10.252369719049037
AR BID 2024.txt,42,3,21,0,26,5,12,0,11,3,4,0,0,0,3,0,29,0,56,4,0,0,24,2,22,4,1,0,77,4,52,1,195,9,55,4,163,0,56,1,2,0,0,0,6336,81127,116,11,135,10,600,19,127,145,619,891,0.9551285984556308,0.044871401544369,Poor,1,59.7,60.9,65.0,4.664469054323406,15.084333575544852
AR DPM 2023.txt,14,1,0,0,14,1,2,0,7,1,2,0,0,0,0,0,5,0,12,0,0,0,3,0,6,0,0,0,77,3,77,2,189,4,46,2,75,2,41,1,0,0,0,0,3784,47086,39,3,26,0,505,14,42,26,519,587,0.97106470328802,0.02893529671198,Fair,2,71.6,75.0,75.0,10.21155984785614,9.63005408969963
AR DPM 2024.txt,36,1,18,0,27,0,19,1,9,0,3,0,0,0,6,0,9,0,19,1,0,0,6,0,6,1,0,0,95,13,83,4,216,22,59,10,79,8,86,15,0,0,0,0,5825,74648,112,2,46,2,618,72,114,48,690,852,0.9108450704225352,0.0891549295774647,Fair,2,74.5,73.1,71.8,10.265929997619285,10.480781826174313
AR HSG 2024.txt,17,0,9,0,14,1,21,0,8,1,3,0,0,0,3,0,8,0,11,1,0,0,5,0,5,0,0,0,78,5,62,3,158,8,66,5,95,8,58,4,1,0,0,0,3989,46781,72,2,32,1,518,33,74,33,551,658,0.9543781094527364,0.0456218905472636,Fair,2,71.5,72.1,75.0,9.614420460177447,9.858064943472053
AR SAB 2021.txt,25,1,12,1,18,0,16,1,5,0,1,0,0,0,3,0,12,0,21,1,0,0,5,0,10,0,0,0,80,6,64,2,175,12,54,7,82,2,63,8,2,1,0,0,4226,51746,77,3,51,1,520,38,80,52,558,690,0.9231884057971014,0.0768115942028985,Fair,2,74.1,75.0,72.4,10.519201543748794,9.686100860791996
AR SAB 2022.txt,23,2,10,0,18,1,18,1,4,0,1,0,0,0,2,0,10,0,18,1,0,0,6,0,8,0,0,0,81,7,68,2,181,12,51,4,80,3,63,7,3,3,0,0,4370,53484,74,4,44,1,527,38,78,45,565,688,0.9261627906976744,0.0738372093023255,Fair,2,72.0,71.6,73.0,10.288228534203895,9.691707654138103
AR SAB 2023.txt,23,2,11,0,17,1,18,1,4,0,1,0,0,0,2,0,11,0,21,1,0,0,7,0,9,0,0,0,82,6,68,2,184,14,55,5,82,3,65,7,3,3,0,0,4584,56029,74,4,50,1,539,39,78,51,578,707,0.9368870292887028,0.063112970711297,Fair,2,72.0,75.0,73.5,10.637374097275494,9.37306213343294
AR SCB 2024.txt,33,2,10,0,20,1,16,2,8,1,2,0,0,0,5,0,17,0,26,2,0,0,8,0,9,1,0,0,95,11,75,3,201,16,56,7,84,6,69,8,2,3,0,0,5597,67887,89,6,65,3,582,54,95,68,636,799,0.8535669586983102,0.1464330413016898,Fair,2,72.4,73.5,68.6,9.04560612433311,10.263918335384092
