"sentence","score"
"Công ty áp dụng công nghệ xử lý nước thải đạt chuẩn quốc gia trước khi xả ra môi trường.",0.75
"Chúng tôi sử dụng 100% năng lượng mặt trời cho hoạt động chiếu sáng tại nhà máy chính.",0.90
"Quá trình sản xuất vẫn còn phát sinh một lượng đáng kể chất thải rắn chưa được tái chế hiệu quả.",0.30
"Tổ chức đã trồng thành công 10.000 cây xanh trong khuôn khổ chiến dịch phủ xanh đất trống.",0.85
"Công ty chưa có chính sách rõ ràng về việc xử lý và giảm thiểu khí thải độc hại từ dây chuyền sản xuất.",0.20
"Mức tiêu thụ nước sạch tại các cơ sở sản xuất giảm 12% nhờ ứng dụng hệ thống tuần hoàn nước tiên tiến.",0.78
"Hoạt động sản xuất chưa có báo cáo cụ thể về việc giảm thiểu phát thải bụi mịn PM2.5.",0.35
"Sử dụng bao bì từ vật liệu tái chế đã giúp công ty giảm thiểu 35% lượng rác thải nhựa ra môi trường.",0.88
"Chưa có báo cáo chi tiết về quy trình quản lý và xử lý chất thải nguy hại theo quy định.",0.25
"Công ty đang trong giai đoạn nghiên cứu và thử nghiệm phương pháp thu hồi nhiệt dư thừa từ lò hơi để tái sử dụng.",0.68
"Chưa có biện pháp cụ thể nào được triển khai để giảm thiểu ô nhiễm tiếng ồn tại khu vực nhà máy sản xuất.",0.28
"Việc chuyển đổi sang hệ thống quản lý hồ sơ điện tử đã giúp giảm 25% lượng giấy tiêu thụ hàng năm.",0.82
"Môi trường làm việc tại một số phân xưởng chưa đảm bảo tuyệt đối an toàn về hóa chất cho người lao động.",0.32
"Công ty thực hiện định kỳ kiểm tra và bảo trì hệ thống lọc không khí công nghiệp tại tất cả các xưởng sản xuất.",0.72
"Doanh nghiệp chưa thiết lập hệ thống giám sát tự động và liên tục chất lượng nước thải đầu ra.",0.42
"Hệ thống chiếu sáng tại văn phòng làm việc đã được chuyển đổi hoàn toàn sang sử dụng năng lượng mặt trời.",0.92
"Việc phân loại rác thải tại nguồn giữa rác tái chế và rác thải sinh hoạt chưa được thực hiện triệt để.",0.22
"Công ty đã đầu tư 3 triệu USD cho dự án cải tạo và xử lý môi trường tại khu vực bãi thải cũ.",0.79
"Trong kế hoạch tài chính năm tới, chưa có chỉ tiêu cụ thể về việc giảm phát thải khí nhà kính.",0.33
"Công ty đã lắp đặt và vận hành trạm quan trắc tự động để giám sát chất lượng không khí xung quanh nhà máy.",0.83
"Sự cố rò rỉ dầu nhỏ vẫn còn xảy ra không thường xuyên trong quá trình vận hành một số máy móc cũ.",0.48
"Doanh nghiệp đã được cấp chứng nhận hệ thống quản lý môi trường theo tiêu chuẩn ISO 14001:2015.",0.89
"Tỷ lệ sử dụng nguyên liệu tái chế trong tổng cơ cấu nguyên vật liệu đầu vào cho sản xuất chưa được công bố.",0.41
"Công ty đã cho ra mắt dòng sản phẩm mới thân thiện với môi trường, sử dụng 90% thành phần hữu cơ tự nhiên.",0.81
"Hiện tại, công ty chưa đưa ra cam kết cụ thể về lộ trình đạt được mục tiêu trung hòa carbon.",0.31
"Chương trình giảm 50% đồ nhựa dùng một lần trong các bữa ăn ca tại nhà ăn công ty đã được triển khai thành công.",0.91
"Kế hoạch tối ưu hóa việc sử dụng nhiên liệu hóa thạch trong vận tải và sản xuất chưa được ưu tiên.",0.36
"Hệ thống thu gom và tái sử dụng nước mưa để phục vụ tưới tiêu cây cảnh trong khuôn viên trụ sở đã đi vào hoạt động.",0.86
"Báo cáo đánh giá rủi ro môi trường định kỳ và các biện pháp phòng ngừa chưa được công khai đầy đủ.",0.26
"Toàn bộ sản phẩm của công ty hiện được đóng gói bằng vật liệu có khả năng phân hủy sinh học hoàn toàn.",0.84
"Quá trình vận chuyển hàng hóa và nguyên liệu đầu vào chưa được tối ưu hóa về tuyến đường để giảm thiểu khí thải carbon.",0.62
"Công ty cung cấp báo cáo minh bạch và chi tiết về lượng khí phát thải Scope 1 và Scope 2 hàng năm.",0.87
"Công nghệ đốt rác phát điện để xử lý chất thải rắn công nghiệp chưa được xem xét đầu tư.",0.43
"Doanh nghiệp thường xuyên tổ chức các chương trình đào tạo nâng cao kỹ năng mềm và chuyên môn cho toàn thể nhân viên.",0.82
"Chính sách hỗ trợ nghỉ thai sản cho lao động nữ chưa thực sự hấp dẫn và cạnh tranh so với thị trường.",0.33
"Tỷ lệ lao động nữ được tuyển dụng và giữ các vị trí quản lý cấp trung đạt 45% tổng số nhân sự.",0.86
"Báo cáo về mức lương trung bình của nhân viên theo từng cấp bậc và giới tính chưa được công khai.",0.43
"Công ty thực hiện khảo sát mức độ hài lòng và gắn kết của nhân viên định kỳ 6 tháng một lần.",0.73
"Chương trình chăm sóc sức khỏe toàn diện và khám sức khỏe định kỳ cho nhân viên chưa được triển khai đầy đủ.",0.38
"Doanh nghiệp đã đóng góp 300.000 USD cho các quỹ hỗ trợ giáo dục và phát triển cộng đồng tại địa phương.",0.93
"Chính sách tuyển dụng chưa thể hiện rõ cam kết về bình đẳng giới và cơ hội cho người yếu thế.",0.28
"Công ty khuyến khích và tạo điều kiện cho nhân viên tham gia các hoạt động tình nguyện vì cộng đồng.",0.83
"Cơ chế đối thoại và giải quyết khiếu nại giữa người lao động và ban lãnh đạo chưa thực sự hiệu quả.",0.31
"Chính sách về đa dạng hóa văn hóa, tôn trọng sự khác biệt và chống phân biệt đối xử được áp dụng rộng rãi.",0.87
"Kênh tiếp nhận phản hồi và tố giác ẩn danh các vấn đề tiêu cực tại nơi làm việc chưa được thiết lập.",0.41
"Công tác kiểm tra an toàn lao động và vệ sinh môi trường làm việc được thực hiện định kỳ và nghiêm túc.",0.79
"Chương trình hỗ trợ học bổng cho con em nhân viên có hoàn cảnh khó khăn chưa được xây dựng.",0.53
"Công ty cung cấp gói trợ cấp y tế bổ sung và bảo hiểm sức khỏe tư nhân cho toàn thể nhân viên.",0.81
"Vẫn còn tồn tại rủi ro về việc sử dụng lao động trẻ em trong một số khâu của chuỗi cung ứng ở nước ngoài.",0.23
"Nguyên tắc trả lương công bằng, không phân biệt đối xử dựa trên giới tính hay độ tuổi được áp dụng triệt để.",0.88
"Chính sách làm việc linh hoạt và hỗ trợ từ xa cho các bậc phụ huynh có con nhỏ chưa được phổ biến.",0.39
"Chương trình kiểm tra sức khỏe định kỳ miễn phí và tư vấn sức khỏe được tổ chức hàng năm cho nhân viên.",0.84
"Bộ quy tắc ứng xử và hướng dẫn xử lý các hành vi quấy rối tại nơi làm việc chưa được ban hành chính thức.",0.34
